"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
14.116054643871,9.0124438458588,5.32222828827798,9.46724243229255,9.37544246553443,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0
12.3141981339703,5.44281221576966,8.85940316715278,5.35613461746834,8.8392320566345,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
14.7768854852047,8.72866166639142,5.18383004004136,9.27581798052415,5.52224659011699,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
12.0427611177961,5.20510320551693,8.16369717358612,7.28717810590751,5.87349538109265,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
13.0736941048166,7.47102669090964,7.71013008547015,6.4532508875709,6.19988217018545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
12.7632523123175,8.99091852945276,7.04692021012306,5.12258134549484,5.88774538598955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13.0017815921436,5.36742319818586,6.56746231019497,7.08620816119947,8.23654064792208,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
12.5515035722066,6.6624396527186,9.54346335493028,7.24947350798175,8.77251455560327,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.0205733582556,6.82804531534202,9.15162849589251,5.72741197538562,7.0770841720514,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
12.1293931888733,6.08813237515278,6.7791936872527,8.76517556374893,7.08617769065313,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
12.9253337732358,9.23584562493488,5.22858586162329,8.74064059578814,5.86648527067155,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
14.0094860872157,7.615579146659,5.75897975126281,6.16414098301902,9.08771378686652,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
11.6420924247765,5.84894464933313,8.3341901737731,7.22764330683276,6.0726375086233,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
14.5456109741273,6.7361355794128,8.59111562604085,9.65453188866377,7.93933627195656,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1
14.6715758216448,9.52976898173802,7.81207925290801,8.30682834610343,7.94467375148088,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
13.6966029874783,6.90782805904746,5.40978187695146,7.76426531141624,7.77190109249204,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
12.628968463731,9.75629726774059,6.37659164960496,9.18265939224511,5.75545144150965,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
13.6822938918116,5.61223194468766,5.85976478410885,7.74356755428016,8.39457522844896,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
11.8655825415379,6.66519906604663,9.581867470406,6.23710169224069,5.3205380786676,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0
13.5316624292049,8.51749651832506,8.54925536317751,7.23386425408535,8.51430743699893,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1
13.0038036941711,5.44638525461778,7.97683416283689,7.00831820839085,9.21427303459495,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
11.7029010917159,6.17582739563659,7.49704991234466,6.6713320359122,7.26600905065425,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
13.9442966358433,6.91300899139605,7.79174544499256,8.20242765592411,6.7906182736624,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13.6737161411922,5.59340653126128,5.79371171188541,8.53064692113549,9.58160184207372,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
14.2121849701029,9.47861408116296,7.98358904547058,5.90862083132379,5.17633373499848,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
11.4505537393507,5.32681295648217,9.85059592057951,5.9428410208784,8.82825384614989,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
14.9013317024757,6.32174895144999,7.77062356472015,6.38457789085805,8.88449269579723,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
13.8865229004684,7.41225262405351,8.88392987195402,8.85665402980521,7.24232731154189,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
13.3920163610604,6.23375813942403,8.08831175905652,5.75456312508322,9.78352782782167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
11.4384544617167,6.32029159110971,7.52705873921514,6.23477521119639,7.26782426820137,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
14.0764262918545,8.89189967536367,9.65557291056029,7.66554457484744,7.02103576390073,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
13.1531889111442,5.60678215115331,5.59775586705655,7.50433477456681,8.58231469290331,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
13.9195031420062,6.05478991870768,6.13265478401445,8.1301100703422,7.7668870636262,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
12.5131627943256,8.86189374141395,7.23930039792322,5.19443909754045,5.5392877093982,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
14.123624521879,8.57849938212894,5.02850604942068,8.16401224350557,5.31605843454599,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
14.6830276315889,8.67585516069084,8.66849593701772,9.04915250954218,5.58570349705406,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
13.0681856565948,6.14970529219136,5.61744842212647,8.14162813825533,8.05873867240734,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
13.7570919796366,7.78083119075745,9.77180922636762,5.02922816667706,6.28533497569151,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1
14.8478883109332,8.96450322819874,7.47552855988033,9.69469242845662,9.39584325999022,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
14.3478990344249,8.15529135172255,9.95503035141155,6.08889856841415,6.84854588122107,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
13.9733578279478,9.01101263938472,6.68286886881106,7.75082038366236,5.88574803667143,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1
